assetId,zoneId,assetType,criticalityLevel,operationalStatus,hallId,rowId,rackId,capacityGroupId,assetClass
ASSET-GEN-CHW-SCN-20260620,ZONE-GEN-COOLING,Chilled Water Loop,high,degraded,HALL-GEN-010,,,,COOLING
ASSET-GEN-DCIM-SCN-20260620,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-010,ROW-GEN-010,RACK-GEN-010,GPU-POD-GEN-010,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260621,ZONE-GEN-COMPUTE,GPU Pod,critical,monitor,HALL-GEN-011,ROW-GEN-011,RACK-GEN-011,GPU-POD-GEN-011,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260621,ZONE-GEN-POWER,UPS Feed,critical,stable,HALL-GEN-011,ROW-GEN-011,POWER-RACK-GEN-011,,POWER
ASSET-GEN-CHW-SCN-20260621,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-011,,,,COOLING
ASSET-GEN-DCIM-SCN-20260621,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,degraded,HALL-GEN-011,ROW-GEN-011,RACK-GEN-011,GPU-POD-GEN-011,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260622,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-012,ROW-GEN-012,RACK-GEN-012,GPU-POD-GEN-012,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260622,ZONE-GEN-POWER,UPS Feed,critical,stable,HALL-GEN-012,ROW-GEN-012,POWER-RACK-GEN-012,,POWER
ASSET-GEN-CHW-SCN-20260622,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-012,,,,COOLING
ASSET-GEN-DCIM-SCN-20260622,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-012,ROW-GEN-012,RACK-GEN-012,GPU-POD-GEN-012,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260623,ZONE-GEN-COMPUTE,GPU Pod,critical,monitor,HALL-GEN-013,ROW-GEN-013,RACK-GEN-013,GPU-POD-GEN-013,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260623,ZONE-GEN-POWER,UPS Feed,critical,monitor,HALL-GEN-013,ROW-GEN-013,POWER-RACK-GEN-013,,POWER
ASSET-GEN-CHW-SCN-20260623,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-013,,,,COOLING
ASSET-GEN-DCIM-SCN-20260623,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-013,ROW-GEN-013,RACK-GEN-013,GPU-POD-GEN-013,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260624,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-014,ROW-GEN-014,RACK-GEN-014,GPU-POD-GEN-014,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260624,ZONE-GEN-POWER,UPS Feed,critical,monitor,HALL-GEN-014,ROW-GEN-014,POWER-RACK-GEN-014,,POWER
ASSET-GEN-CHW-SCN-20260624,ZONE-GEN-COOLING,Chilled Water Loop,high,monitor,HALL-GEN-014,,,,COOLING
ASSET-GEN-DCIM-SCN-20260624,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-014,ROW-GEN-014,RACK-GEN-014,GPU-POD-GEN-014,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260625,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-015,ROW-GEN-015,RACK-GEN-015,GPU-POD-GEN-015,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260625,ZONE-GEN-POWER,UPS Feed,critical,degraded,HALL-GEN-015,ROW-GEN-015,POWER-RACK-GEN-015,,POWER
ASSET-GEN-CHW-SCN-20260625,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-015,,,,COOLING
ASSET-GEN-DCIM-SCN-20260625,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,degraded,HALL-GEN-015,ROW-GEN-015,RACK-GEN-015,GPU-POD-GEN-015,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260626,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-016,ROW-GEN-016,RACK-GEN-016,GPU-POD-GEN-016,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260626,ZONE-GEN-POWER,UPS Feed,critical,monitor,HALL-GEN-016,ROW-GEN-016,POWER-RACK-GEN-016,,POWER
ASSET-GEN-CHW-SCN-20260626,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-016,,,,COOLING
ASSET-GEN-DCIM-SCN-20260626,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-016,ROW-GEN-016,RACK-GEN-016,GPU-POD-GEN-016,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260627,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-017,ROW-GEN-017,RACK-GEN-017,GPU-POD-GEN-017,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260627,ZONE-GEN-POWER,UPS Feed,critical,stable,HALL-GEN-017,ROW-GEN-017,POWER-RACK-GEN-017,,POWER
ASSET-GEN-CHW-SCN-20260627,ZONE-GEN-COOLING,Chilled Water Loop,high,degraded,HALL-GEN-017,,,,COOLING
ASSET-GEN-DCIM-SCN-20260627,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-017,ROW-GEN-017,RACK-GEN-017,GPU-POD-GEN-017,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260628,ZONE-GEN-COMPUTE,GPU Pod,critical,monitor,HALL-GEN-018,ROW-GEN-018,RACK-GEN-018,GPU-POD-GEN-018,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260628,ZONE-GEN-POWER,UPS Feed,critical,stable,HALL-GEN-018,ROW-GEN-018,POWER-RACK-GEN-018,,POWER
ASSET-GEN-CHW-SCN-20260628,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-018,,,,COOLING
ASSET-GEN-DCIM-SCN-20260628,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,degraded,HALL-GEN-018,ROW-GEN-018,RACK-GEN-018,GPU-POD-GEN-018,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260629,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-019,ROW-GEN-019,RACK-GEN-019,GPU-POD-GEN-019,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260629,ZONE-GEN-POWER,UPS Feed,critical,stable,HALL-GEN-019,ROW-GEN-019,POWER-RACK-GEN-019,,POWER
ASSET-GEN-CHW-SCN-20260629,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-019,,,,COOLING
ASSET-GEN-DCIM-SCN-20260629,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-019,ROW-GEN-019,RACK-GEN-019,GPU-POD-GEN-019,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260630,ZONE-GEN-COMPUTE,GPU Pod,critical,monitor,HALL-GEN-020,ROW-GEN-020,RACK-GEN-020,GPU-POD-GEN-020,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260630,ZONE-GEN-POWER,UPS Feed,critical,monitor,HALL-GEN-020,ROW-GEN-020,POWER-RACK-GEN-020,,POWER
ASSET-GEN-CHW-SCN-20260630,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-020,,,,COOLING
ASSET-GEN-DCIM-SCN-20260630,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-020,ROW-GEN-020,RACK-GEN-020,GPU-POD-GEN-020,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260631,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-021,ROW-GEN-021,RACK-GEN-021,GPU-POD-GEN-021,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260631,ZONE-GEN-POWER,UPS Feed,critical,monitor,HALL-GEN-021,ROW-GEN-021,POWER-RACK-GEN-021,,POWER
ASSET-GEN-CHW-SCN-20260631,ZONE-GEN-COOLING,Chilled Water Loop,high,monitor,HALL-GEN-021,,,,COOLING
ASSET-GEN-DCIM-SCN-20260631,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-021,ROW-GEN-021,RACK-GEN-021,GPU-POD-GEN-021,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260632,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-022,ROW-GEN-022,RACK-GEN-022,GPU-POD-GEN-022,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260632,ZONE-GEN-POWER,UPS Feed,critical,degraded,HALL-GEN-022,ROW-GEN-022,POWER-RACK-GEN-022,,POWER
ASSET-GEN-CHW-SCN-20260632,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-022,,,,COOLING
ASSET-GEN-DCIM-SCN-20260632,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,degraded,HALL-GEN-022,ROW-GEN-022,RACK-GEN-022,GPU-POD-GEN-022,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260633,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-023,ROW-GEN-023,RACK-GEN-023,GPU-POD-GEN-023,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260633,ZONE-GEN-POWER,UPS Feed,critical,monitor,HALL-GEN-023,ROW-GEN-023,POWER-RACK-GEN-023,,POWER
ASSET-GEN-CHW-SCN-20260633,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-023,,,,COOLING
ASSET-GEN-DCIM-SCN-20260633,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-023,ROW-GEN-023,RACK-GEN-023,GPU-POD-GEN-023,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260634,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-024,ROW-GEN-024,RACK-GEN-024,GPU-POD-GEN-024,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260634,ZONE-GEN-POWER,UPS Feed,critical,stable,HALL-GEN-024,ROW-GEN-024,POWER-RACK-GEN-024,,POWER
ASSET-GEN-CHW-SCN-20260634,ZONE-GEN-COOLING,Chilled Water Loop,high,degraded,HALL-GEN-024,,,,COOLING
ASSET-GEN-DCIM-SCN-20260634,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-024,ROW-GEN-024,RACK-GEN-024,GPU-POD-GEN-024,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260635,ZONE-GEN-COMPUTE,GPU Pod,critical,monitor,HALL-GEN-025,ROW-GEN-025,RACK-GEN-025,GPU-POD-GEN-025,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260635,ZONE-GEN-POWER,UPS Feed,critical,stable,HALL-GEN-025,ROW-GEN-025,POWER-RACK-GEN-025,,POWER
ASSET-GEN-CHW-SCN-20260635,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-025,,,,COOLING
ASSET-GEN-DCIM-SCN-20260635,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,degraded,HALL-GEN-025,ROW-GEN-025,RACK-GEN-025,GPU-POD-GEN-025,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260636,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-026,ROW-GEN-026,RACK-GEN-026,GPU-POD-GEN-026,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260636,ZONE-GEN-POWER,UPS Feed,critical,stable,HALL-GEN-026,ROW-GEN-026,POWER-RACK-GEN-026,,POWER
ASSET-GEN-CHW-SCN-20260636,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-026,,,,COOLING
ASSET-GEN-DCIM-SCN-20260636,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-026,ROW-GEN-026,RACK-GEN-026,GPU-POD-GEN-026,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260637,ZONE-GEN-COMPUTE,GPU Pod,critical,monitor,HALL-GEN-027,ROW-GEN-027,RACK-GEN-027,GPU-POD-GEN-027,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260637,ZONE-GEN-POWER,UPS Feed,critical,monitor,HALL-GEN-027,ROW-GEN-027,POWER-RACK-GEN-027,,POWER
ASSET-GEN-CHW-SCN-20260637,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-027,,,,COOLING
ASSET-GEN-DCIM-SCN-20260637,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-027,ROW-GEN-027,RACK-GEN-027,GPU-POD-GEN-027,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260638,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-028,ROW-GEN-028,RACK-GEN-028,GPU-POD-GEN-028,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260638,ZONE-GEN-POWER,UPS Feed,critical,monitor,HALL-GEN-028,ROW-GEN-028,POWER-RACK-GEN-028,,POWER
ASSET-GEN-CHW-SCN-20260638,ZONE-GEN-COOLING,Chilled Water Loop,high,monitor,HALL-GEN-028,,,,COOLING
ASSET-GEN-DCIM-SCN-20260638,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-028,ROW-GEN-028,RACK-GEN-028,GPU-POD-GEN-028,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260639,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-029,ROW-GEN-029,RACK-GEN-029,GPU-POD-GEN-029,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260639,ZONE-GEN-POWER,UPS Feed,critical,degraded,HALL-GEN-029,ROW-GEN-029,POWER-RACK-GEN-029,,POWER
ASSET-GEN-CHW-SCN-20260639,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-029,,,,COOLING
ASSET-GEN-DCIM-SCN-20260639,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,degraded,HALL-GEN-029,ROW-GEN-029,RACK-GEN-029,GPU-POD-GEN-029,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260640,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-030,ROW-GEN-030,RACK-GEN-030,GPU-POD-GEN-030,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260640,ZONE-GEN-POWER,UPS Feed,critical,monitor,HALL-GEN-030,ROW-GEN-030,POWER-RACK-GEN-030,,POWER
ASSET-GEN-CHW-SCN-20260640,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-030,,,,COOLING
ASSET-GEN-DCIM-SCN-20260640,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-030,ROW-GEN-030,RACK-GEN-030,GPU-POD-GEN-030,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260641,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-031,ROW-GEN-031,RACK-GEN-031,GPU-POD-GEN-031,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260641,ZONE-GEN-POWER,UPS Feed,critical,stable,HALL-GEN-031,ROW-GEN-031,POWER-RACK-GEN-031,,POWER
ASSET-GEN-CHW-SCN-20260641,ZONE-GEN-COOLING,Chilled Water Loop,high,degraded,HALL-GEN-031,,,,COOLING
ASSET-GEN-DCIM-SCN-20260641,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-031,ROW-GEN-031,RACK-GEN-031,GPU-POD-GEN-031,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260642,ZONE-GEN-COMPUTE,GPU Pod,critical,monitor,HALL-GEN-032,ROW-GEN-032,RACK-GEN-032,GPU-POD-GEN-032,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260642,ZONE-GEN-POWER,UPS Feed,critical,stable,HALL-GEN-032,ROW-GEN-032,POWER-RACK-GEN-032,,POWER
ASSET-GEN-CHW-SCN-20260642,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-032,,,,COOLING
ASSET-GEN-DCIM-SCN-20260642,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,degraded,HALL-GEN-032,ROW-GEN-032,RACK-GEN-032,GPU-POD-GEN-032,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260643,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-033,ROW-GEN-033,RACK-GEN-033,GPU-POD-GEN-033,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260643,ZONE-GEN-POWER,UPS Feed,critical,stable,HALL-GEN-033,ROW-GEN-033,POWER-RACK-GEN-033,,POWER
ASSET-GEN-CHW-SCN-20260643,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-033,,,,COOLING
ASSET-GEN-DCIM-SCN-20260643,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-033,ROW-GEN-033,RACK-GEN-033,GPU-POD-GEN-033,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260644,ZONE-GEN-COMPUTE,GPU Pod,critical,monitor,HALL-GEN-034,ROW-GEN-034,RACK-GEN-034,GPU-POD-GEN-034,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260644,ZONE-GEN-POWER,UPS Feed,critical,monitor,HALL-GEN-034,ROW-GEN-034,POWER-RACK-GEN-034,,POWER
ASSET-GEN-CHW-SCN-20260644,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-034,,,,COOLING
ASSET-GEN-DCIM-SCN-20260644,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-034,ROW-GEN-034,RACK-GEN-034,GPU-POD-GEN-034,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260645,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-035,ROW-GEN-035,RACK-GEN-035,GPU-POD-GEN-035,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260645,ZONE-GEN-POWER,UPS Feed,critical,monitor,HALL-GEN-035,ROW-GEN-035,POWER-RACK-GEN-035,,POWER
ASSET-GEN-CHW-SCN-20260645,ZONE-GEN-COOLING,Chilled Water Loop,high,monitor,HALL-GEN-035,,,,COOLING
ASSET-GEN-DCIM-SCN-20260645,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-035,ROW-GEN-035,RACK-GEN-035,GPU-POD-GEN-035,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260646,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-036,ROW-GEN-036,RACK-GEN-036,GPU-POD-GEN-036,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260646,ZONE-GEN-POWER,UPS Feed,critical,degraded,HALL-GEN-036,ROW-GEN-036,POWER-RACK-GEN-036,,POWER
ASSET-GEN-CHW-SCN-20260646,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-036,,,,COOLING
ASSET-GEN-DCIM-SCN-20260646,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,degraded,HALL-GEN-036,ROW-GEN-036,RACK-GEN-036,GPU-POD-GEN-036,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260647,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-037,ROW-GEN-037,RACK-GEN-037,GPU-POD-GEN-037,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260647,ZONE-GEN-POWER,UPS Feed,critical,monitor,HALL-GEN-037,ROW-GEN-037,POWER-RACK-GEN-037,,POWER
ASSET-GEN-CHW-SCN-20260647,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-037,,,,COOLING
ASSET-GEN-DCIM-SCN-20260647,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-037,ROW-GEN-037,RACK-GEN-037,GPU-POD-GEN-037,CONTROL_TELEMETRY
